iter	F1	CrossEntropy
101	0.7981962811	0.503432135
102	0.7980330528	0.5029177579
103	0.7985403679	0.5022387107
104	0.7979521492	0.5016512691
105	0.7983568313	0.5010015191
106	0.7986005476	0.500305175
107	0.798762552	0.4998146581
108	0.7991684835	0.4990497313
109	0.7992900609	0.4981932851
110	0.7999797088	0.4976960172
111	0.7999797088	0.4974395392
112	0.8002435436	0.4970179699
113	0.8009336784	0.4966859557
114	0.80135944	0.496392153
115	0.8010147133	0.4959384135
116	0.8010553554	0.4955293902
117	0.8003048006	0.4953563023
118	0.8003454582	0.4950740851
119	0.8006700168	0.4946969679
120	0.8015643253	0.4940011114
121	0.8012393966	0.4937367557
122	0.8013208026	0.4934055659
123	0.8016268429	0.4927586201
124	0.80217546	0.4923937531
125	0.8027846943	0.4921295615
126	0.8011398331	0.491807574
127	0.8014660965	0.4913933282
128	0.8015687073	0.4910293391
129	0.8014870646	0.4907569828
130	0.802098187	0.4903468043
131	0.802425107	0.4900136898
132	0.8021205016	0.4896991599
133	0.8023249885	0.4892168422
134	0.8026510324	0.4886667255
135	0.80399348	0.4883856847
136	0.8039115819	0.4880728682
137	0.8038686689	0.4876344407
138	0.8039505167	0.4872756402
139	0.8040144684	0.4868751994
140	0.8038935888	0.4865806719
141	0.8045449913	0.486262847
142	0.805501783	0.4859776933
143	0.8054607509	0.4855820912
144	0.8055838598	0.4853712777
145	0.8063152534	0.4850639208
146	0.8060751236	0.4847063234
147	0.806606178	0.4843121834
148	0.8065256181	0.4839738134
149	0.8066489904	0.4835341586
150	0.8072412035	0.4829154618
151	0.8063692967	0.4826142654
152	0.8066162957	0.482236734
153	0.8073722367	0.4818157718
154	0.8083673469	0.4814274938
155	0.80956021	0.4808230804
156	0.8096014677	0.4805725035
157	0.8097665409	0.4801192467
158	0.810014277	0.4798858435
159	0.8101330343	0.4792856826
160	0.8094266476	0.4791580496
161	0.8093440783	0.4786713057
162	0.8097884272	0.4783884553
163	0.8100362079	0.4778768154
164	0.8102428076	0.4776313056
165	0.8104441838	0.4774131341
166	0.8107253912	0.4772191271
167	0.8103087522	0.4768993911
168	0.810813568	0.4765920818
169	0.8103140158	0.4763106425
170	0.8120538446	0.4758901068
171	0.8115912453	0.4755840179
172	0.8117154812	0.4754113321
173	0.811762904	0.4750127065
174	0.8119226254	0.4747052402
175	0.8130769623	0.4743176879
176	0.8131599082	0.4739890586
177	0.8133707578	0.4735507701
178	0.8128031038	0.4731442055
179	0.8135783563	0.4728374669
180	0.8136198887	0.4726259569
181	0.8134416016	0.4723003843
182	0.8130205938	0.4720647872
183	0.8137635287	0.4716824809
184	0.8146901301	0.4714061441
185	0.8144482424	0.4711849967
186	0.8148563849	0.4709777446
187	0.8149395377	0.4707725832
188	0.8153022188	0.4704602829
189	0.8155518139	0.4703049095
190	0.8153555567	0.4700084886
191	0.8156886778	0.469596245
192	0.8159681454	0.4693737057
193	0.8152196118	0.4689265032
194	0.815344537	0.4687039372
195	0.8159640706	0.4683562374
196	0.8156013886	0.4680635323
197	0.8167849303	0.4675525388
198	0.8169517488	0.4674087473
199	0.8161783505	0.4668793904
200	0.8159402496	0.4666887996
201	0.8165958971	0.4662604681
202	0.8168466302	0.465832936
203	0.8171393468	0.4655985927
204	0.8177254098	0.4652736117
205	0.8176416351	0.4650906259
206	0.8184703594	0.4649029098
207	0.8187074656	0.4645128751
208	0.8188331627	0.4642248889
209	0.8190846729	0.4640456242
210	0.8191266063	0.4638369502
211	0.818507891	0.4634397266
212	0.8187176465	0.4631055635
213	0.8188435514	0.4629330518
214	0.8188435514	0.4627387062
215	0.8188855283	0.4623258599
216	0.8200163901	0.4620482269
217	0.8200163901	0.4619647338
218	0.8204760686	0.4618467615
219	0.8206441042	0.4615821506
220	0.8209405865	0.4612095206
221	0.8209405865	0.4610042138
222	0.8216990788	0.4607008325
223	0.8213188614	0.4605783318
224	0.8220846339	0.4603695755
225	0.8220425706	0.4600420133
226	0.82187292	0.4598322173
227	0.8223610116	0.4595389883
228	0.8226136829	0.4591790053
229	0.8220343326	0.4590823559
230	0.8224327785	0.4587102165
231	0.8223235792	0.4585167066
232	0.8220091277	0.4583055267
233	0.8220512821	0.4581379127
234	0.8221356037	0.4578459912
235	0.8234027279	0.457394915
236	0.8232517572	0.4570124448
237	0.8233605086	0.4566107739
238	0.8234691263	0.4564278205
239	0.8238790674	0.4561761177
240	0.8239212873	0.4560488248
241	0.8240479729	0.4558416209
242	0.8240902101	0.4555878794
243	0.8245721898	0.4554710058
244	0.8244877049	0.4550560712
245	0.8247412114	0.4548794279
246	0.8246989495	0.4547582243
247	0.8248257483	0.4545368473
248	0.8253756603	0.4541489553
249	0.8257859377	0.4538013931
250	0.8260267651	0.4536189774
251	0.8262496796	0.4533276136
252	0.8263546798	0.4528020382
253	0.8263970852	0.4527055151
254	0.8266871953	0.4523686382
255	0.8269062901	0.4521243208
256	0.8272461088	0.4518242678
257	0.8261920683	0.4514579235
258	0.8267667935	0.4511823715
259	0.8273699363	0.4510476893
260	0.8269655988	0.4508789691
261	0.8280398808	0.4505373207
262	0.8276855042	0.4504424189
263	0.8282880197	0.4501571441
264	0.8282142306	0.4497703098
265	0.8288316098	0.4494382083
266	0.8293209877	0.4491323631
267	0.828572899	0.4490387408
268	0.8287435013	0.4488511454
269	0.8291728859	0.4487039388
270	0.830530268	0.4484930898
271	0.8312596401	0.4480779195
272	0.8312596401	0.4478939037
273	0.8313451255	0.4476655767
274	0.8314306284	0.4475217822
275	0.8303382936	0.4471961415
276	0.831249035	0.4469197387
277	0.8303382936	0.4468100988
278	0.8310351924	0.4465947664
279	0.8311207163	0.4463851263
280	0.831249035	0.4462219304
281	0.8300350443	0.4458354224
282	0.8300350443	0.4457518213
283	0.8298190442	0.4455850133
284	0.8297334914	0.4454104244
285	0.8299474064	0.4451512914
286	0.8303599051	0.4448934301
287	0.8315127782	0.4445959889
288	0.8317790716	0.4443679557
289	0.832680816	0.4442157706
290	0.8334534968	0.4440105025
291	0.8336679537	0.4438850998
292	0.8336250386	0.4438015503
293	0.833753797	0.443587762
294	0.834353934	0.4432852837
295	0.8344398127	0.4430218153
296	0.8342939481	0.4428006308
297	0.8343368844	0.4427277057
298	0.8345516318	0.4425033478
299	0.8347664899	0.4422938991
300	0.8348094748	0.4420724
301	0.8348094748	0.4418901231
302	0.8349814586	0.4416294102
303	0.8342008968	0.4413897233
304	0.8342438924	0.4412699835
305	0.835110493	0.4410128541
306	0.8351535133	0.4408118899
307	0.8346391753	0.4407246191
308	0.8347252294	0.4405580005
309	0.8352056065	0.4403463925
310	0.8352916924	0.4402301024
311	0.8352486473	0.440095633
312	0.8353777961	0.4398193015
313	0.8354221466	0.439580477
314	0.8356807512	0.4391883567
315	0.8356807512	0.439014212
316	0.8357669883	0.4387232437
317	0.8360689584	0.438483699
318	0.8366694181	0.4382835086
319	0.8363092166	0.4381493029
320	0.8359318534	0.4379817215
321	0.8358455503	0.437706088
322	0.8360181743	0.4374075365
323	0.8362772441	0.4371435715
324	0.8362772441	0.436998242
325	0.8360367807	0.4368273211
326	0.8371108472	0.4365069047
327	0.83698121	0.4362560225
328	0.837473532	0.4359827748
329	0.8375167855	0.4357653687
330	0.837430283	0.4355859951
331	0.837903434	0.4353327786
332	0.8377163524	0.4351183121
333	0.8385163757	0.4348176241
334	0.8382162972	0.4346508759
335	0.8386196921	0.4343091234
336	0.8385696569	0.4340515888
337	0.8390430424	0.4338457875
338	0.8391297607	0.4335997865
339	0.8392598718	0.4334035586
340	0.8392598718	0.4332550572
341	0.8394768133	0.4328820417
342	0.8396070321	0.4325637533
343	0.8399110329	0.4322379357
344	0.8397807199	0.4320752427
345	0.8397372912	0.4319785152
346	0.8402171104	0.4317635943
347	0.8396875485	0.431579859
348	0.8401075602	0.4313670152
349	0.840504758	0.4310951647
350	0.839571362	0.4309498583
351	0.8396582967	0.4308820731
352	0.83983222	0.4307348636
353	0.8399192087	0.4304340062
354	0.8400062154	0.4303192981
355	0.8400062154	0.4299772991
356	0.8393884426	0.4298102982
357	0.8391644638	0.4296304733
358	0.8391644638	0.4295542769
359	0.8404971517	0.4291793487
360	0.8401741294	0.4289780757
361	0.8396930734	0.428832349
362	0.8402507902	0.4285600399
363	0.840294331	0.428368522
364	0.8405121028	0.428099258
365	0.8413471503	0.4279080346
366	0.8419035783	0.4277488175
367	0.8420343899	0.4276493001
368	0.8422905664	0.4274392255
369	0.8417780541	0.4272219914
370	0.8417780541	0.4271247463
371	0.8419525339	0.4269161344
372	0.8421270861	0.4266783815
373	0.8422580478	0.426391649
374	0.8422143894	0.4262036845
375	0.8429015544	0.425944689
376	0.8431636778	0.4256459958
377	0.8432510885	0.4255273809
378	0.8431250648	0.4252673902
379	0.8433872305	0.4249803004
380	0.8432561273	0.4248060739
381	0.8434746553	0.4245931653
382	0.8439929512	0.4244354507
383	0.8438682914	0.4240897197
384	0.8443868291	0.4238856206
385	0.8442070325	0.4236633606
386	0.8442508169	0.4235326131
387	0.8439510272	0.4231277803
388	0.8441747069	0.4229473031
389	0.8445689968	0.4226185031
390	0.8452282158	0.4223982926
391	0.8454474708	0.4221413384
392	0.8452634311	0.4219200144
393	0.8457706279	0.4217966545
394	0.8464889534	0.4215366841
395	0.8457386069	0.4211705127
396	0.8460700389	0.4209486145
397	0.8455267667	0.4206741016
398	0.8450470105	0.4204199316
399	0.845482866	0.4201874833
400	0.8456584961	0.4199711844
401	0.8460340532	0.4199144525
402	0.845702415	0.4196568862
403	0.8464932773	0.4194202726
404	0.8466728953	0.4191122904
405	0.8462497403	0.4189458915
406	0.8459459459	0.4187057501
407	0.8463656674	0.4184961157
408	0.8469170433	0.4182993103
409	0.8468215604	0.4181096173
410	0.8468655785	0.4177730376
411	0.8478396344	0.4174511073
412	0.8478836666	0.4173165891
413	0.8483148985	0.4171585374
414	0.848985101	0.4170147629
415	0.849161431	0.4168002173
416	0.849205525	0.4165588275
417	0.849205525	0.4163938386
418	0.8489948574	0.4160869527
419	0.8495014541	0.4159940487
420	0.8492595479	0.4157733136
421	0.8493036791	0.4155347561
422	0.8497377032	0.4153083591
423	0.8506486767	0.4149164773
424	0.8507369732	0.4145165292
425	0.8493136439	0.4142090718
426	0.8494019761	0.414122638
427	0.8493834868	0.4139819961
428	0.8491724784	0.4138305801
429	0.8495786955	0.4136103948
430	0.8496044963	0.413261622
431	0.8494819597	0.4130936911
432	0.8498568826	0.4129383435
433	0.8495704244	0.4126366935
434	0.8498542274	0.4124744615
435	0.850197793	0.4122695503
436	0.8507936508	0.4118501596
437	0.8506716651	0.4115646723
438	0.8505651336	0.4113769263
439	0.8511768382	0.4111724799
440	0.8516706568	0.4108968582
441	0.8517149846	0.4105923542
442	0.851936693	0.4103585802
443	0.8523241893	0.4101547229
444	0.8524129314	0.410008579
445	0.8524573095	0.4098481532
446	0.8533361091	0.4095633912
447	0.8533361091	0.4091989303
448	0.8531861724	0.4090880145
449	0.8534083216	0.4088012387
450	0.853273608	0.4086085027
451	0.8536915547	0.4083389344
452	0.8534527653	0.4081520821
453	0.8534083216	0.4078911349
454	0.8531082278	0.4077012509
455	0.8536902964	0.4074869877
456	0.8535250899	0.4071723416
457	0.8537932472	0.4069811332
458	0.8537932472	0.4069233159
459	0.8541807762	0.4067004135
460	0.8544640067	0.4065804169
461	0.8540906722	0.4063096722
462	0.8544630295	0.4060228478
463	0.853790802	0.4057727733
464	0.8537590651	0.4054996039
465	0.8551479783	0.4052367612
466	0.8550724638	0.4051476955
467	0.8558328557	0.4047805178
468	0.8563987708	0.4046065062
469	0.8567857515	0.4044175455
470	0.8568451761	0.4042221804
471	0.8570386959	0.4040976704
472	0.856949435	0.403947666
473	0.8565174337	0.4038134733
474	0.8570833333	0.4035712526
475	0.8572619296	0.4032464663
476	0.8566812591	0.4031433866
477	0.856979107	0.4028906269
478	0.8570088099	0.4026407646
479	0.8574706649	0.4023287903
480	0.8576048404	0.4020120508
481	0.8581560284	0.4017589919
482	0.8582007823	0.4015546865
483	0.8581560284	0.4013175192
484	0.858335072	0.4011472486
485	0.8578436489	0.4009190781
486	0.8577840405	0.4006789541
487	0.8585146913	0.4004100168
488	0.858559499	0.4003504968
489	0.8578293116	0.4001125468
490	0.8586043113	0.3999202803
491	0.85869395	0.3997821884
492	0.8589629784	0.3996180686
493	0.859052692	0.3994700738
494	0.859052692	0.3992999282
495	0.8591424244	0.3990868185
496	0.8598413692	0.3988254775
497	0.859559361	0.3984947091
498	0.8594255875	0.3982791593
499	0.8599321326	0.397946803
500	0.8599321326	0.3978071263
501	0.8600219287	0.3975859997
502	0.8604711905	0.3972998361
503	0.8605610992	0.3971181484
504	0.8606510267	0.3969626728
505	0.8609195402	0.3967347542
506	0.8609195402	0.3964840519
507	0.8608745625	0.3963465113
508	0.8608745625	0.3962119549
509	0.8608745625	0.3959940744
510	0.8605027962	0.3957991989
511	0.8610545018	0.3954981561
512	0.8609077599	0.3952558485
513	0.8609978036	0.3951502337
514	0.8612795317	0.3949529316
515	0.8613695766	0.3948338101
516	0.8609077599	0.3947503441
517	0.8611764706	0.3943987624
518	0.861728266	0.3941866225
519	0.8621897047	0.3939114839
520	0.8610587989	0.3936842186
521	0.8608217744	0.3934646009
522	0.8617026843	0.3931841081
523	0.8628024878	0.392913981
524	0.8628475852	0.3926999942
525	0.862937794	0.3924164055
526	0.8630280217	0.392245495
527	0.8631986602	0.3919436747
528	0.8637505232	0.3917506757
529	0.8637505232	0.3915806273
530	0.863886127	0.3913000544
531	0.8644378172	0.3910896372
532	0.8642027013	0.3908248065
533	0.8642931937	0.3906399878
534	0.8639673144	0.390380135
535	0.8643242394	0.3900695263
536	0.8646525996	0.3898210159
537	0.8648309078	0.3894830715
538	0.8651138445	0.3892232202
539	0.8651138445	0.3890381395
540	0.8654229116	0.3887449202
541	0.865604361	0.3885397993
542	0.8656951143	0.3883361056
543	0.8658312798	0.3882344502
544	0.8658312798	0.388056486
545	0.8661491661	0.3878027383
546	0.8661945974	0.3876158485
547	0.8662854745	0.3874285274
548	0.8664672858	0.3871851326
549	0.8665127506	0.3869529064
550	0.8668311375	0.3866564529
551	0.8670131779	0.3864350967
552	0.8670587	0.3862628631
553	0.8671497585	0.3860712066
554	0.867240836	0.3859378895
555	0.8677026459	0.385764041
556	0.8676115486	0.3854856181
557	0.867450898	0.3853879906
558	0.867496455	0.3853279672
559	0.8677026459	0.3851156782
560	0.8676331547	0.3849054458
561	0.8679304731	0.3845576602
562	0.8678393279	0.3843763481
563	0.8683188071	0.3841824541
564	0.8684556005	0.3839732348
565	0.86854682	0.3837681101
566	0.8683864866	0.3834640063
567	0.8689118899	0.3832674392
568	0.8687749527	0.3830271017
569	0.8687335786	0.3827462543
570	0.8690169705	0.3826145595
571	0.8689162199	0.3824057028
572	0.8689162199	0.382293216
573	0.8693504309	0.3821491741
574	0.8693504309	0.3818491201
575	0.8693504309	0.3817727834
576	0.8694875164	0.3816048317
577	0.8695332212	0.3813996381
578	0.8696520551	0.381199174
579	0.8701776516	0.380990976
580	0.8700404646	0.3808855504
581	0.8700861888	0.3806651051
582	0.8700404646	0.3804525364
583	0.8705523729	0.3802823266
584	0.8705066218	0.3800678981
585	0.8706438896	0.3798713284
586	0.8706438896	0.3797434132
587	0.8707354255	0.3795471158
588	0.8707812007	0.3792703682
589	0.8708269807	0.3792064572
590	0.8708727655	0.3790314661
591	0.8712933754	0.3788681893
592	0.8712017664	0.3786975209
593	0.8713850037	0.3784874521
594	0.8715683181	0.3782448829
595	0.8711340206	0.378118434
596	0.8709422844	0.3779476607
597	0.8713308785	0.3777901744
598	0.8713308785	0.3775267556
599	0.8714684064	0.377249313
600	0.8716059777	0.3771318072
601	0.8717435924	0.3769239413
602	0.8717894737	0.3767182589
603	0.8717894737	0.3765638002
604	0.8723617032	0.3763676173
605	0.8721780771	0.3761815845
606	0.8720404083	0.3758867528
607	0.8721321827	0.3758289213
608	0.8723617032	0.375681558
609	0.8723157895	0.3755457128
610	0.8724535453	0.3753743457
611	0.8729339931	0.375173118
612	0.873071861	0.3749478087
613	0.8731178267	0.3747135538
614	0.8729130458	0.3745508425
615	0.873071861	0.3742655056
616	0.8731637972	0.3742351632
617	0.8733477276	0.3740284005
618	0.8734397219	0.3738494389
619	0.8734397219	0.3737172674
620	0.8733937224	0.373555787
621	0.8733270102	0.3733489679
622	0.8736697924	0.37323791
623	0.8736697924	0.3730637901
624	0.8738999842	0.3728161449
625	0.8739920949	0.3726281749
626	0.8739460371	0.3724257996
627	0.8739460371	0.372262382
628	0.8738078929	0.3720126834
629	0.8737413675	0.3717556188
630	0.8737874315	0.3716180592
631	0.873879574	0.3714765673
632	0.8739256525	0.3712103278
633	0.8740639173	0.3710442297
634	0.8740178242	0.3708188308
635	0.8739717359	0.3707248602
636	0.8744465528	0.3705292357
637	0.874584849	0.3703849506
638	0.8747693119	0.3701275862
639	0.8748615725	0.3700191571
640	0.8747693119	0.369859145
641	0.8749077102	0.3696865542
642	0.8750923093	0.3694656806
643	0.8755079424	0.3691998946
644	0.8756465745	0.368975305
645	0.8758314856	0.3687017468
646	0.8758777256	0.3685188859
647	0.8758314856	0.3684438704
648	0.8757390203	0.3681512641
649	0.8760164748	0.367964118
650	0.8759239704	0.3678056507
651	0.8760627343	0.3676622414
652	0.8759702202	0.367496375
653	0.8760164748	0.3673724632
654	0.8760627343	0.3671808436
655	0.8762015422	0.3670468713
656	0.8762478213	0.366754348
657	0.8762015422	0.3666278161
658	0.876155268	0.3663791112
659	0.876155268	0.3663282533
660	0.8759972526	0.366076721
661	0.8761824235	0.3659491849
662	0.8763213531	0.3658040734
663	0.8764603267	0.3656716256
664	0.8768498943	0.3654732442
665	0.8768962419	0.3652306342
666	0.8771744303	0.365042822
667	0.8771744303	0.3648115128
668	0.8773135907	0.3646371092
669	0.8774063888	0.3644272117
670	0.8773599873	0.3642874291
671	0.8778242235	0.3639486702
672	0.8778706741	0.3637657974
673	0.8779171297	0.3635285499
674	0.8778706741	0.3633462419
675	0.8781959663	0.3632344546
676	0.8782424563	0.3630829083
677	0.8779454594	0.3629051819
678	0.8778989728	0.362772779
679	0.8781314549	0.3624817529
680	0.8785214997	0.362297104
681	0.878410596	0.3621266489
682	0.8784571368	0.3619214065
683	0.8786433492	0.3616593631
684	0.8788296406	0.3614421189
685	0.8789228159	0.3613395494
686	0.878969411	0.3611845132
687	0.8792490852	0.3609150224
688	0.8793889891	0.3607760063
689	0.8795289375	0.3605906265
690	0.8798089679	0.3603799362
691	0.879902351	0.3602109104
692	0.87994905	0.360046935
693	0.879855657	0.359963263
694	0.879902351	0.3598358002
695	0.8802249098	0.3596410177
696	0.8804584284	0.3594454114
697	0.8804117148	0.3592978506
698	0.880505147	0.3592023402
699	0.8813793103	0.3588933183
700	0.8815196052	0.3586868023
701	0.8815663801	0.3585202887
702	0.8815196052	0.3583847858
703	0.8817535293	0.3581420962
704	0.8822156197	0.3579870391
705	0.881919015	0.3577622586
706	0.881965821	0.3575576636
707	0.8826370826	0.3573589904
708	0.8827776598	0.3571933173
709	0.8827307958	0.3571123088
710	0.8829182817	0.3569811283
711	0.8829182817	0.356897122
712	0.8830589485	0.3566679406
713	0.8831058474	0.3564587278
714	0.8833873453	0.3562820739
715	0.8834812178	0.3560989498
716	0.8834812178	0.3559563672
717	0.8835281615	0.3558142041
718	0.8834812178	0.355615272
719	0.8835751103	0.3554584584
720	0.883622064	0.3553408489
721	0.883434279	0.3551268578
722	0.883434279	0.3550471456
723	0.883434279	0.3548073133
724	0.8838569075	0.3547152392
725	0.8838099288	0.3544679746
726	0.8840125392	0.3542765953
727	0.8840595112	0.3541581374
728	0.8841534701	0.3540261113
729	0.8842944459	0.3538400077
730	0.8843414479	0.353785003
731	0.8843414479	0.3537322089
732	0.8844824837	0.353541184
733	0.8844824837	0.353401381
734	0.8844354667	0.3531997507
735	0.8844824837	0.352952156
736	0.8844824837	0.3528753404
737	0.8844824837	0.352736782
738	0.8844824837	0.3526398698
739	0.8845295056	0.3524930167
740	0.8850263116	0.3522741289
741	0.8851204083	0.3522104768
742	0.885214525	0.3520507923
743	0.885214525	0.351983602
744	0.8853557375	0.3518330597
745	0.8854028184	0.3516810974
746	0.8855440911	0.3515055965
747	0.8854969952	0.3514122048
748	0.8857811337	0.3512272494
749	0.8854969952	0.3511615265
750	0.8853889539	0.350987103
751	0.8852947436	0.350925694
752	0.8854831843	0.350807915
753	0.8855303071	0.3506611663
754	0.8858981861	0.3504451036
755	0.8860867252	0.3502812745
756	0.8861338725	0.3501578063
757	0.886322512	0.349953689
758	0.886322512	0.3498145867
759	0.8864168618	0.3496692724
760	0.8864640443	0.3496048342
761	0.8864168618	0.3494994747
762	0.8865112318	0.34934421
763	0.8865112318	0.3491951439
764	0.8865584243	0.348972936
765	0.8866056218	0.3487540636
766	0.8866528244	0.348651799
767	0.8868426655	0.3484865579
768	0.8868898707	0.3483768361
769	0.8868898707	0.3483424255
770	0.8872804683	0.3481246512
771	0.886984296	0.3479056223
772	0.8870315162	0.3478176522
773	0.8870315162	0.3475894292
774	0.887314943	0.3473792014
775	0.8873621984	0.3471952846
776	0.8874094589	0.3470957953
777	0.8876931273	0.3468236443
778	0.8878350296	0.3466358796
779	0.8880243031	0.3464906862
780	0.8880716342	0.3463358532
781	0.8881189702	0.3462716678
782	0.8881189702	0.3461123901
783	0.8881189702	0.3459725634
784	0.8882136574	0.3456967653
785	0.8885099126	0.3454955931
786	0.8885099126	0.3453492853
787	0.888415219	0.3452143978
788	0.888557267	0.3449378565
789	0.8884625633	0.3448012195
790	0.8886046264	0.3446752717
791	0.8888414992	0.3444863332
792	0.8889836835	0.3443421594
793	0.8890310884	0.3442084964
794	0.8892207584	0.3440401188
795	0.8891259133	0.3439165284
796	0.8890784983	0.3438353909
797	0.8892207584	0.3436936076
798	0.8895054154	0.3435116288
799	0.8895054154	0.3434460812
800	0.8895054154	0.3433239161
801	0.8895528759	0.3431464564
802	0.8896952879	0.3429717514
803	0.8897427687	0.3427636361
804	0.8897902546	0.3425846986
805	0.8898377455	0.3423855835
806	0.8899802488	0.3422818712
807	0.89002776	0.3421042443
808	0.8900752763	0.3419867653
809	0.8901227977	0.341894658
810	0.8902178556	0.3417423755
811	0.8901703241	0.341699562
812	0.8901227977	0.3415389765
813	0.8901703241	0.3413885089
814	0.8901227977	0.3413198836
815	0.8901227977	0.3412023568
816	0.8902653922	0.3410413401
817	0.890727593	0.3408360066
818	0.890727593	0.3408092163
819	0.890680047	0.34069527
820	0.8909284952	0.3406179437
821	0.8908809562	0.3405363222
822	0.8911176314	0.3403624483
823	0.891260271	0.3402540635
824	0.8910711427	0.3401349119
825	0.8913553895	0.3400019492
826	0.8914981054	0.3397846148
827	0.8915932746	0.3395433532
828	0.8916884642	0.3393700628
829	0.8917360666	0.3392081062
830	0.8917360666	0.3390877595
831	0.8917836741	0.3390141233
832	0.891974155	0.3389031438
833	0.893051553	0.3387319954
834	0.8932899162	0.3385553543
835	0.8937623393	0.3384217458
836	0.8937623393	0.3383145342
837	0.8938577299	0.3381529838
838	0.8939054328	0.3380662367
839	0.8938577299	0.3378579964
840	0.8938010572	0.33770493
841	0.8937533369	0.3375596329
842	0.8937533369	0.3374804863
843	0.8937533369	0.3372958714
844	0.8938965131	0.3371645689
845	0.894087486	0.3369163491
846	0.894135242	0.3367852607
847	0.8942785405	0.3365164089
848	0.8943740984	0.3364043615
849	0.894421885	0.3362127107
850	0.8945652755	0.3360777303
851	0.8947087119	0.3359754075
852	0.8946608947	0.3358232103
853	0.8948043618	0.3356663751
854	0.8950996633	0.3354847712
855	0.8952431855	0.3352737597
856	0.8953388925	0.3351411474
857	0.8952431855	0.334998085
858	0.8952910364	0.3348139887
859	0.8952910364	0.3347070625
860	0.8951392974	0.3345637514
861	0.8952350393	0.3344337667
862	0.895282918	0.3341959004
863	0.8954265846	0.3340793203
864	0.8953786906	0.3340511978
865	0.8953786906	0.3339555674
866	0.8953786906	0.3339213518
867	0.8951871658	0.333728146
868	0.8953786906	0.3336296762
869	0.8954265846	0.3334154631
870	0.8955223881	0.333326131
871	0.8955223881	0.3332162278
872	0.8957619863	0.3330888039
873	0.8958099213	0.3329736331
874	0.8956661316	0.3329034191
875	0.8958099213	0.3328540306
876	0.8957619863	0.3327881854
877	0.8958578615	0.3326301888
878	0.8959537572	0.3325122327
879	0.8960017128	0.3323462818
880	0.8961935864	0.3321583396
881	0.8961935864	0.3320444745
882	0.8962415676	0.331800342
883	0.8961935864	0.3317136261
